make,model,price,mpg,speed,status,color,location_id
Ford,F150,32000,19/26,120,available,blue,1
Ford,Mustang,26000,22/31,160,available,red,1
Ford,Mustang,23500,22/31,160,available,green,1
Ford,Taurus,17000,22/32,120,available,red,1
Ford,F250,35000,19/26,110,available,white,2
Ford,Expedition,44000,19/26,120,available,black,3
Chevy,Camaro,32000,22/31,160,available,black,2
Chevy,Corvette,65000,17/29,180,available,grey,2
Chevy,Silverado,32000,19/26,120,available,white,3
Chevy,Camaro,32000,22/31,160,available,blue,3
Chevy,Corvette,65000,17/29,180,available,red,3
Chevy,Malibu,16500,27/36,120,available,silver,1
Chevy,Malibu,16500,27/36,120,available,cream,1
Toyota,Camry,23000,24/33,130,available,blue,1
Toyota,Camry,25000,24/33,130,available,black,2
Toyota,Land Cruiser,41000,13/18,110,available,black,3
Toyota,Prius,26000,58/53,110,available,blue,1
Toyota,Rav4,24000,23/30,110,available,red,2
Dodge,Charger,30000,19/30,150,available,red,3
Dodge,Dart,23000,19/26,130,available,green,3
Dodge,Challenger,31000,19/30,160,available,blue,3
Dodge,Journey,22000,19/26,120,available,grey,2
